City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sandnessjoen,66.0217,12.6316,16.29,88,75,2.57,NO,1691166835
1,blackmans bay,-43.0167,147.3167,11.07,70,97,6.92,AU,1691166835
2,lebu,-37.6167,-73.65,11.96,55,25,7.08,CL,1691166756
3,laurel,39.0993,-76.8483,26.44,77,100,2.06,US,1691166835
4,remire-montjoly,4.9167,-52.2667,32.02,66,75,4.63,GF,1691166835
5,puerto natales,-51.7236,-72.4875,3.92,77,97,7.88,CL,1691166836
6,ta`u,-14.2336,-169.5144,26.7,78,23,7.03,AS,1691166836
7,papatowai,-46.5619,169.4708,3.88,84,25,1.69,NZ,1691166836
8,atchison,39.563,-95.1216,26.02,89,100,2.58,US,1691166836
9,masuguru,-11.3667,38.4167,26.05,39,58,4.27,TZ,1691166837
10,esquel,-42.9,-71.3167,3.82,74,57,3.21,AR,1691166608
11,adamstown,-25.066,-130.1015,18.7,62,94,6.4,PN,1691166837
12,vila velha,-20.3297,-40.2925,24.97,78,20,7.72,BR,1691166837
13,nantucket,41.2835,-70.0995,23.94,61,0,5.14,US,1691166599
14,port blair,11.6667,92.75,29.02,79,40,4.12,IN,1691166837
15,grytviken,-54.2811,-36.5092,-0.13,88,100,5.68,GS,1691166838
16,prado,-17.3411,-39.2208,25.29,63,11,3.87,BR,1691166838
17,waitangi,-43.9535,-176.5597,7.12,94,100,2.68,NZ,1691166838
18,fisterra,42.9049,-9.2629,24.3,69,1,9.8,ES,1691166839
19,yellowknife,62.456,-114.3525,21.29,52,75,3.09,CA,1691166839
20,kerikeri,-35.2268,173.9474,9.95,93,28,1.79,NZ,1691166839
21,ribeira grande,38.5167,-28.7,25.99,69,20,6.69,PT,1691166839
22,bathurst,-33.4166,149.5806,8.79,94,77,0.99,AU,1691166688
23,bredasdorp,-34.5322,20.0403,12.34,86,3,1.19,ZA,1691166840
24,bilibino,68.0546,166.4372,8.78,95,100,2.41,RU,1691166840
25,vorgashor,67.5833,63.95,21.75,64,10,2.22,RU,1691166840
26,port-aux-francais,-49.35,70.2167,1.71,66,100,11.53,TF,1691166840
27,behompy,-23.2496,43.8557,20.24,67,36,1.72,MG,1691166841
28,alice springs,-23.7,133.8833,11.75,62,1,5.66,AU,1691166611
29,valle aurina - ahrntal,46.9962,11.9799,15.42,92,100,2.69,IT,1691166841
30,mezhdurechensk,53.6942,88.0603,17.42,97,86,0.74,RU,1691166841
31,margaret river,-33.95,115.0667,8.81,84,100,3.69,AU,1691166842
32,talnakh,69.4865,88.3972,16.23,53,34,0.15,RU,1691166842
33,dudinka,69.4058,86.1778,16.46,60,38,3.96,RU,1691166843
34,la ronge,55.1001,-105.2842,20.14,73,40,6.17,CA,1691166843
35,labrador city,52.9463,-66.9114,12.95,100,100,3.09,CA,1691166609
36,edinburgh of the seven seas,-37.0676,-12.3116,10.6,72,31,22.43,SH,1691166844
37,jiaozhou,36.2839,120.0033,26.98,92,18,2.6,CN,1691166844
38,pacific grove,36.6177,-121.9166,16.23,92,100,3.58,US,1691166618
39,mollendo,-17.0231,-72.0147,19.55,68,68,2.61,PE,1691166845
40,atafu village,-8.5421,-172.5159,27.97,71,100,3.73,TK,1691166845
41,port alfred,-33.5906,26.891,21.21,54,96,0.45,ZA,1691166846
42,invercargill,-46.4,168.35,2.79,98,51,0.89,NZ,1691166846
43,saint-joseph,-21.3667,55.6167,20.82,84,93,9.01,RE,1691166846
44,isafjordur,66.0755,-23.124,12.02,71,40,4.12,IS,1691166846
45,ilulissat,69.2167,-51.1,8.01,76,40,2.06,GL,1691166846
46,aykhal,66.0,111.5,7.31,97,100,5.0,RU,1691166847
47,katsuren-haebaru,26.3369,127.8719,27.01,100,100,18.53,JP,1691166847
48,loa janan,-0.583,117.095,24.01,96,87,1.31,ID,1691166848
49,murun-kuren,49.6342,100.1625,15.09,76,98,0.51,MN,1691166848
50,katsuura,35.1333,140.3,26.9,85,0,8.11,JP,1691166550
51,kingston,17.997,-76.7936,31.53,66,20,3.6,JM,1691166730
52,san pedro pochutla,15.7333,-96.4667,33.73,56,88,2.57,MX,1691166849
53,ar ruways,24.1103,52.7306,33.7,65,23,4.62,AE,1691166849
54,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,40,2.0,RU,1691166849
55,tolanaro,-25.0319,46.9987,20.04,73,20,6.17,MG,1691166850
56,cabo san lucas,22.8909,-109.9124,34.23,65,40,5.66,MX,1691166791
57,tafuna,-14.3358,-170.72,25.97,94,40,4.12,AS,1691166850
58,tiksi,71.6872,128.8694,3.42,95,100,1.09,RU,1691166850
59,albany,42.6001,-73.9662,22.75,86,81,0.45,US,1691166691
60,yei,4.095,30.6779,20.77,89,66,1.19,SS,1691166851
61,edmundston,47.3737,-68.3251,17.64,94,100,6.69,CA,1691166851
62,yamba,-5.9,22.3,29.2,26,27,1.4,CD,1691166851
63,bengkulu,-3.8004,102.2655,25.36,92,35,4.28,ID,1691166852
64,amga,60.8953,131.9608,12.28,76,2,0.56,RU,1691166852
65,saint-leu,-21.15,55.2833,21.46,97,53,9.2,RE,1691166852
66,andergrove,-21.0833,149.1833,18.63,80,70,6.61,AU,1691166852
67,port augusta,-32.5,137.7667,8.51,85,40,3.68,AU,1691166852
68,mittagong,-34.45,150.45,12.33,68,98,1.62,AU,1691166853
69,iqaluit,63.7506,-68.5145,10.39,76,75,2.06,CA,1691166853
70,weno,7.4515,151.8468,25.65,91,100,2.37,FM,1691166853
71,iranshahr,27.2025,60.6848,40.19,24,20,6.17,IR,1691166854
72,saipan,15.1355,145.701,27.39,100,0,1.54,MP,1691166854
73,pisco,-13.7,-76.2167,20.57,73,100,2.06,PE,1691166854
74,bandundu,-3.3167,17.3667,32.02,21,9,1.17,CD,1691166854
75,zouerate,22.7187,-12.4521,42.16,9,4,9.21,MR,1691166854
76,jiagedaqi,50.4167,124.1167,16.04,57,100,1.73,CN,1691166855
77,georgetown,5.4112,100.3354,29.97,87,20,1.54,MY,1691166764
78,sakaiminato,35.55,133.2333,27.99,69,20,1.03,JP,1691166855
79,ust-nera,64.5667,143.2,10.96,54,19,1.92,RU,1691166855
80,aasiaat,68.7098,-52.8699,2.13,85,90,1.35,GL,1691166856
81,susuman,62.7833,148.1667,5.58,73,39,1.69,RU,1691166856
82,saurimo,-9.6608,20.3916,23.89,23,1,2.52,AO,1691166856
83,new norfolk,-42.7826,147.0587,11.72,90,98,5.43,AU,1691166856
84,gore,-46.1028,168.9436,2.35,98,44,1.61,NZ,1691166857
85,uturoa,-16.7333,-151.4333,25.81,75,16,4.85,PF,1691166857
86,denia,38.8408,0.1057,28.75,45,3,4.02,ES,1691166857
87,bardai,11.65,7.2333,27.54,68,83,3.62,NG,1691166857
88,hithadhoo,-0.6,73.0833,27.66,74,78,2.45,MV,1691166858
89,severo-yeniseyskiy,60.3725,93.0408,7.2,73,3,2.69,RU,1691166858
90,bethel,41.3712,-73.414,25.27,77,100,1.54,US,1691166858
91,nanao,37.05,136.9667,28.43,88,11,1.71,JP,1691166858
92,punta arenas,-53.15,-70.9167,2.52,69,79,9.83,CL,1691166730
93,brookings,44.3114,-96.7984,29.14,68,0,0.0,US,1691166856
